"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\valab\Desktop\khamsat\duaapp\navigation\BottomTabNavigator.js", "JavaScript", 62, 0, 6, 68
"c:\Users\valab\Desktop\khamsat\duaapp\navigation\useLinking.js", "JavaScript", 17, 1, 2, 20
"Total", "-", 79, 1, 8, 88
